25,Nukem,DNP,DNP,DNP,DNP
25,jahk tuah,2,4,N/A,116
26,iheartabortion,2,3,,
26,you diggin in me,DNP,DNP,DNP,DNP
26,Rick,4,4,N/A,
26,kumalala,5,2,China,
26,Nukem,1,1,Germany,
26,jahk tuah,3,5,N/A w USA,
27,iheartabortion,3,3,N/A,246
27,you diggin in me,DNP,DNP,DNP,DNP
27,Rick,2,1,"USA, Brazil, Israel",423
27,kumalala,4,5,N/A,170
27,Nukem,5,4,Airports,240
27,jahk tuah,1,2,"China, UK, Germany",423
28,iheartabortion,4,1,China,258
28,you diggin in me,3,4,UK,171
28,Rick,5,2,France,258
28,kumalala,1,3,N/A w USA,238
28,Nukem,6,6,N/A,121
28,jahk tuah,2,5,Germany,154
29,iheartabortion,5,3,N/A ,157
29,you diggin in me,1,1,"France, Brazil",168
29,Rick,3,5,N/A w Germany,128
29,kumalala,6,4,N/A w USA,147
29,Nukem,4,6,N/A,134
29,jahk tuah,2,2,N/A,168
