Player,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills
TheJazzmanCometh,91,1.08,0.4,25679,27640,47,1.88,1.3,3634,6760
Alee10ツ,58,0.73,0.8,7260,5258,240,1.01,1.5,15736,15599
ᵗʷⁱᵗᶜʰStasonBobo,147,1.82,3.3,4488,7922,649,1.81,5.6,11568,19732
JarvoxTv,93,1.24,2.2,4160,5049,446,1.68,6.8,6556,10253
DPChew.,1204,4.2,13.9,8670,31343,1412,4.91,19.3,7310,28951
SimplyÃℓeχaиdrØs,34,1.04,2,1738,1765,409,1.04,2.5,16147,16361
CSE Talmo,831,2.91,7.9,10468,28066,632,3.15,12,5267,14621
Tῳizzy,1,0.55,0.8,121,66,14,1.15,3.2,431,481
The Ecuasian,28,0.83,1.7,1650,1347,108,1.03,2,5422,5490
RAМPAGE88,1256,6.12,25.5,4935,22515,1067,4.76,21.6,4934,18397
independent bam,278,1.9,3.8,7304,13329,496,2.09,7.8,6349,12235
xCrystalShip,23,0.4,0.8,2789,1104,579,0.74,3.6,16266,11619
Prince Strap,375,4.21,15.4,2435,8665,2600,6.41,39.3,6623,25798
ӀmVolt,1366,2.96,8.8,15450,41652,220,1.63,3.5,6321,9969
KUREN 王,938,6.35,16.9,5536,29194,383,4.16,13.1,2924,10559
YoSnn,124,1.19,3.4,3688,4226,540,1.29,7.1,7555,9084
XSET Shark,1393,4.29,13.4,10357,38443,989,4.23,18,5489,19021
NOTʲᶜ ˡᶦᵐᶦᵗˡᵉˢˢﾂ,64,1.1,1.3,5103,5564,199,1.46,3.4,5924,8385
liquid bugha 우,935,2.71,7.1,13221,33335,134,2.54,9.4,1426,3285
unikornpiss,13,0.84,1,1276,1066,194,0.92,3.2,6050,5403
Twitch Poison,479,2.55,10.2,4687,10739,428,2.44,8.2,5232,11717
yunyache32,637,5.1,14.4,4417,19284,454,4.45,13,3496,13552
Sandus_2k,560,2.55,6.9,8110,19220,938,2.81,9.5,9829,25015
DammitJess,21,0.83,1,2126,1738,216,1.09,4.5,4844,5048
AQT Rinoツ,50,1.52,3.1,1619,2390,265,1.8,6.1,4345,7341
The-Mafia,168,0.65,3.9,4299,2691,873,2.74,27.4,3186,6340
ɐʌɐʞ uo sʎɐqʎuun,64,2.91,7.2,894,2413,89,2.57,7.1,1245,2973
Youtubeوزيرالايم,1574,2.5,14.3,10993,23545,184,1.99,7.3,2505,4617
ToffieFeeTV,63,1.09,1.2,5415,5844,239,1.51,2.5,9622,14176
BeRKeRx,112,1.63,2.2,5011,7982,206,1.61,3.1,6549,10204
diecohdeuS,302,2.38,7,4329,9593,729,2.62,7.5,9742,23611
iam samael,220,1,1.5,14308,14147,274,1.37,2.9,9533,12669
MIHMARTIN19,246,0.9,3.2,7605,6637,185,0.92,3.8,4859,4322
sammy494,83,0.88,2.3,3600,3091,367,1.22,4.8,7640,8887
Bolji igrac.,226,1.18,3.9,5816,6602,378,1.59,5.3,7080,10676
丂卩丨Ѳ几乇匚Ҝ,117,1.32,3.2,3667,4696,294,1.33,6.2,4735,5925
蛇 Shun 様,239,1.52,5.7,4188,6017,574,1.81,8.1,7113,11813
2mro_,129,1.28,3.8,3437,4250,450,1.93,5.8,7803,14173
Hu_lee_guns,180,1.29,3.4,5333,6642,453,1.4,6.3,7147,9381
Daven ツ,706,3.28,10.1,6990,20635,784,4.41,14.9,5274,19793
Yermoermo,138,1.92,4,3443,6360,622,2.7,6.2,10034,25445
croatianbuffalo,108,1.67,5.1,2104,3341,129,1.19,4.1,3125,3570
Max Ax3,625,2.22,6.6,9490,19724,590,2.53,9.1,6499,14935
Grizi Χewer,762,3.95,9,8502,30578,776,3.04,9.8,7919,21716
d0rrk,26,1.31,1.2,2209,2865,243,1.72,2.7,8878,14851
NEOObtwᵀᵀⱽ,825,2.62,8.9,9319,22244,460,2.47,9.5,4842,10805
危険を恐れて泣いてる,40,0.82,0.5,7897,6424,627,1.72,8.2,7639,12093
78 Rotory cl,489,2.85,3.9,12458,34067,528,3.02,6.4,8294,23466
ᵀᵀⱽ LupiiNz,10,0.84,0.6,1756,1464,96,1.59,4.6,2094,3169
FuScOnEd,113,1.97,4,2817,5339,95,2.74,8.9,1062,2650
222 GaminG on FB,9,0.97,2.5,361,342,79,1.35,4.5,1743,2249
Jukіe,222,2.19,3.9,5628,11835,477,2.43,6.5,7306,16606
TWITCHXANDYKAWAI,313,1.96,7,4465,8153,897,2.08,12.3,7280,13254
TNG NicFN,643,3.14,8.2,7807,22485,1020,3.83,12,8499,28624
mcdabz,156,1.8,3.8,4142,7155,657,2.45,7.1,9287,21107
iTzMarcli,292,1.62,3.3,8821,13833,224,2.48,7.3,3084,7090
GAWS TV,599,3.4,9.2,6508,20101,1124,3.57,11.8,9555,30096
B0MII 波米,70,1.55,2.4,2877,4358,388,2.88,11.2,3476,8878
Romp N Stompy,312,1.46,3.2,9648,13599,236,1.51,3.5,6719,9802
sea_dweller,552,1.78,3.5,15853,27239,132,1.33,3,4465,5781
QuiltedMaple,377,2.26,5.6,6687,14243,914,2.33,8.9,10236,21700
NotsKaiky,111,1.46,1.7,6537,9402,254,1.5,3,8390,12183
wilaxx59,21,0.75,0.7,2954,2192,190,1.01,2.7,7155,7014
LamontNastyTTV,60,1.4,2,2954,4041,379,1.89,4.7,7986,14347
CooL 酷,438,1.4,2.2,20350,27804,174,2.78,5.6,3113,8185
TocToc-Faaaaio,176,2.1,8.5,2069,3966,685,2.55,10,6851,15709
ℵℶ ℵℶℵ,91,1.34,0.4,25420,33854,107,1.31,1.3,8243,10672
cr yusewimps,433,2.95,8.2,5263,14244,377,3.08,10.8,3493,9585
BØRRACHØ,55,0.71,1.7,3264,2286,399,1.32,3.9,10271,13057
OG-nutone76,15,0.71,1.4,1071,755,129,0.7,3.5,3671,2477
njethro,121,2.11,11.6,1047,1953,521,2.16,11.3,4616,8835
Bart LovesMajo,129,1.23,2.5,5219,6275,381,1.49,4.6,8337,11824
Batatinha_Chips,21,0.96,1.4,1534,1446,167,1.12,4.7,3587,3815
hateme4that,224,1.68,5.1,4353,6939,305,1.8,7.1,4266,7147
War-Ghost,262,1.81,2.4,10757,19040,331,1.56,4.3,7771,11625
Roadkiller.,120,1.77,2.5,4855,8363,438,2.17,5.4,8067,16584
EssMGeeSprAY_TTV,68,0.87,0.6,12055,10449,165,1.02,1.6,10262,10301
Visu Akusto,318,2.62,3.2,10032,25445,454,3.19,7.7,5881,17312
kokosinela,252,0.95,1.7,14963,13946,87,1.36,1.6,5455,7327
ɱąɖŋɛҳųʂ,37,1.19,2.9,1292,1489,212,1.54,5.8,3651,5302
Roger_Rabbitツ,4,0.3,0.5,865,262,6,0.26,0.6,1086,276
Twitch kargeaux,84,2,2.8,2987,5813,365,2.1,4.4,8264,16603
Kelu04,264,2.43,6.6,3990,9063,411,2.24,6,6877,14465
zaviria,98,0.91,0.8,12362,11129,12,0.94,0.9,1409,1310
just bubble〆,157,1.6,2.2,7252,11349,350,1.74,2.8,12644,21390
DELETE Kloff,436,2.12,11.9,3666,6857,887,2.26,9.2,9673,19835
mrJonnyM,163,1.66,7.1,2306,3561,244,1.92,8.7,2817,4948
Lxckyer,285,1.71,3.1,9336,15448,336,1.47,4.7,7096,9944
DaddyWrzeszczyk,611,2.37,6.1,9956,22171,700,2.43,8.8,7913,17515
SPCambo9,910,2.02,10.4,8750,15858,410,1.88,7.9,5199,8985
Braxtonjames2020,704,4.32,15.1,4675,17153,1433,5.73,21.5,6660,29970
Deyf5 en twitch,392,1.62,4.2,9322,14479,742,2.43,10.7,6905,14949
leafkemon TTV,633,2.74,6.9,9202,23508,1235,3.19,11.8,10430,29350
ttvSomeSaucy,30,1.19,2,1524,1773,115,1.27,3.8,3027,3693
ᴰᵀ RISE oF AMIR,207,1.15,1.4,14429,16338,70,1.05,1.5,4622,4797
Mma A7Aψ,681,2.72,10.1,6736,16491,466,2.93,10,4675,12344
shakatop,180,1.06,4.4,4126,4201,115,1.08,4.5,2576,2655
DXR_R1pPeR ツ,84,1.01,1.6,5117,5104,406,1.42,4.2,9772,13340
OMGさん,20,1.74,4.6,432,715,669,2.5,13.6,4922,10615
GoodGuyBambi,42,1.53,4.3,966,1414,572,2.09,7.2,7898,15316
JK BRaVE YT,51,1.31,2.5,2008,2559,317,1.76,6.3,4996,8213
EryKDragoN,303,1.85,4,7539,13401,437,2.45,7.4,5876,13351
adv dawinǃ,341,1.35,1.6,21802,28896,358,1.73,4,8943,14841
Dheylo Granjero,1553,3.91,14.1,11009,36977,1073,4.3,21.3,5034,17026
N3W_ST4R_M3,159,1.22,1.3,12576,15208,327,1.68,3.5,9276,15068
evox x Liswe,104,0.69,0.7,14154,9640,167,0.84,1.7,9720,8058
nɹǝԀ ɹǝpʍƎ,252,0.89,1.8,14269,12459,112,0.92,2.9,3907,3487
BigPapiStriker,483,1.99,10.4,4664,8336,455,2.04,9.2,4947,9145
SAVAGE 义,64,1.1,1.2,5428,5874,124,1.09,1.6,7552,8118
DramaCorn,577,2.2,8.6,6748,13601,763,2.41,9.8,7791,16924
WilsonTheThird,542,1.41,4.6,11850,15987,457,1.55,7.2,6345,9128
ғᴀᴢᴇ ARAKA29_ツ,51,1.29,3.1,1661,2082,131,1.48,3.3,3960,5661
primal kcazzy,28,1.31,1.3,2233,2886,366,1.67,4.2,8671,13896
TTV cdogz12345,152,0.91,2.2,6839,6107,156,1.1,2.3,6675,7159
Lvstphoenix,9,0.61,0.3,2873,1735,28,0.59,1,2693,1581
da_Kìlo,315,1.56,3.5,8953,13509,265,1.53,5.1,5204,7564
RK Hysteria,105,1.22,1.8,5747,6880,377,1.54,3.8,9837,14535
СROUSE,214,1.64,4.7,4532,7078,352,1.55,6.8,5143,7420
Stefan -,55,0.89,1.3,4259,3758,207,1.27,2.7,7653,9455
استغفرالله ّ ّ,22,0.75,0.3,8171,6129,18,0.98,1.1,1662,1615
nugメ,155,0.64,2.7,5678,3525,3,0.68,0.6,490,333
UZB050,17,0.72,1.2,1390,989,32,0.79,2.7,1203,921
Liquid Harmii,1079,3.53,8.2,13217,42845,1110,4.4,17.2,6442,23453
Trévon,533,2.19,8.9,6003,11958,810,2.24,12.2,6636,13039
cerin7,528,2.59,4.7,11223,27689,481,3.46,7.1,6746,21669
CL4NPlayer TTV,48,1.24,3.7,1290,1542,121,1.3,4.7,2574,3183
Fen1x Recargado,78,0.57,1.1,7311,4153,149,0.62,3.9,3824,2269
duokiller82,157,0.94,1.6,9937,9205,118,0.79,1.7,6845,5325
DeskPopDave TTV,124,0.89,1.6,7521,6558,365,1.22,5,7299,8432
GW_Nephrite,2305,4.96,21.7,10600,41168,595,4.4,24.3,2446,8147
juansit0_BEAT,103,1.36,1.3,7954,10652,210,1.2,3,6987,8107
KyoFN TV,271,2.05,3.9,6861,13517,217,2.74,9.4,2307,5724
VKS rezende,267,2.81,4.9,5480,14651,369,2.96,6.8,5449,15032
Dougall Ya DiGG,21,2.32,4.9,426,938,470,2.27,6.9,6813,14393
zbrore,182,1.2,1.2,14748,17548,132,1.34,1.7,7548,9903
娜勒杰迪诶迪勒,62,0.94,1.2,5068,4690,80,0.82,2.8,2813,2231
4 Not Hellfire,257,2.55,4,6378,15593,942,3.41,7.8,12136,38225
Hazardous Logic,25,1.34,1.2,2166,2878,110,1.42,4.1,2691,3658
illuminanceTTV,187,2.97,8.1,2296,6266,707,3,11.7,6033,15989
GEIL MaXiGuM,4,1.14,0.9,425,481,157,1.89,5,3126,5606
GeneralMarkan,66,0.4,0.7,9404,3774,103,1.08,2.4,4273,4508
Bunny ӝ,453,4.03,11.8,3847,13684,463,4.86,14.8,3128,12939
C.p_98,77,1.01,1.5,5243,5211,423,1.25,3.5,12212,14790
KingFlippurPlays,59,1.09,1.9,3116,3323,180,1.09,3.8,4791,5035
Softе,1882,5.08,18.3,10262,42582,1160,4.69,16.6,7005,27403
病む病む_,757,4.5,20.5,3698,13247,1328,3.92,23,5784,17459
not sad bent,378,3.02,8.9,4257,11707,610,4.24,13.3,4580,16816
Dom only,155,1.16,1.4,11377,12983,72,1.16,1.5,4727,5378
VegboyWonder,519,0.73,4.9,10531,7335,22,0.95,4.7,472,426
P Patrol67,100,1.49,1,9701,14263,85,1.31,1.4,6091,7875
PewLookAlike,7,0.44,0.5,1331,587,6,0.17,1,613,102
Fivaxe,173,1.33,1.4,12242,15999,86,1.48,1.7,5119,7457
Panzerッ,573,2.88,12.9,4454,11196,165,3.73,19.7,839,2511
Frank372,30,0.94,0.1,23640,22265,105,2.05,3.3,3176,6282
whoSavvy TTV,31,1.1,1,3153,3438,301,1.52,3.6,8443,12380
Mencho1x,191,1.87,1.7,11484,21163,201,2.18,3.8,5267,11035
verdu.,349,1.41,2.2,15577,21421,162,1.49,3.5,4579,6601
frayLingers,357,3.53,14.6,2438,7339,280,2.36,11,2544,5340
npen,1167,4.41,10.8,10759,42312,697,4.35,17.3,4030,14499
mɑster,789,4.79,11.9,6611,27904,1038,4.64,16.2,6401,24896
6GG,34,1.63,4.5,762,1186,826,3.16,15.1,5475,14674
CrAzZy GiRLツ,73,1.07,1.3,5756,6071,184,1.18,3.3,5563,6353
butchersdr,17,1.32,2,868,1125,221,1.7,3,7303,12071
MaCleanAR,40,0.91,0.8,5109,4629,128,1.23,2,6487,7806
nAsTYxbone,21,1.36,6.1,343,438,304,1.35,5.1,5996,7661
EDCOMED,177,0.92,2,9004,8146,10,0.78,1.5,653,502
Spary 69,186,0.97,2.8,6707,6296,214,0.93,3,7081,6417
scoutii poo,644,3.63,9.4,6840,22521,547,3.13,7.8,6995,20155
Zoe ム,52,2.04,6.9,755,1433,458,0.85,4.7,9702,7879
Mr_Foco_ ON IG,25,0.77,0.9,2917,2239,103,1.12,2.8,3630,3938
69ッッッ,350,5.19,24.9,1405,5472,1417,6.97,32,4431,21005
Ghizzawi-_-,144,1.62,3.5,4171,6521,543,2.11,5.6,9648,19201
Nekkern88,307,0.84,2.4,12921,10587,121,1.05,3.1,3850,3905
keyboardreyli,405,2.75,14.4,2806,6594,1057,2.31,13.2,7988,16044
crazy noob21,119,0.78,2.8,4237,3192,177,0.76,3.4,5182,3823
ｲﾘムﾑ,32,1.86,5.3,608,1071,364,2.34,7.9,4595,9880
Haitorii,25,1.12,1.2,2163,2400,4,2.16,3.7,109,227
JINZﱞO,551,2.77,7.1,7731,19911,808,3.48,11.2,7246,22376
StyxiΨ,15,0.75,1.1,1320,985,76,1.12,2.3,3275,3577
WraithFunky,126,1.37,1.9,6616,8906,99,2.48,8.1,1229,2806
GayPrideGamer,69,1.08,2,3475,3663,99,0.8,1.7,5693,4500
bib_hop,1,1.07,0.4,248,265,13,1.16,2,641,726
KKILLER ANGEL,9,0.7,0.5,1964,1368,53,0.82,1.5,3639,2941
UwU Cthulhu,19,0.95,1.7,1104,1026,157,1.44,4.4,3560,4889
rac711,12,1.01,2.9,413,404,63,0.72,3.4,1874,1304
Liquid Alixxa,1726,3.4,14.3,12051,35148,501,3.05,13.7,3649,9599
XxS_Wingert,375,0.61,5.2,7148,4106,729,1.64,12.1,6004,8647
Venasty Ankou,164,1.57,2.6,6239,9546,444,1.66,3.6,12262,19658
pughiee,95,2.54,5.4,1770,4259,592,2.5,9.5,6254,14182
FraGmenT23,208,1.26,4.3,4855,5860,268,1.45,4.4,6103,8434
Jaiden Maynee,145,2.31,7.6,1920,4100,397,2.34,9.2,4338,9210
fat deg on kava,3,0.95,2.8,108,100,62,1.47,2,3057,4417
Jano0o_o,11,1.12,2.5,432,473,160,1.41,4.2,3846,5212
Jeninator_,222,1.56,1.8,12302,18802,687,1.71,4.3,15818,25855
BEQA paranoia,1070,2.69,14.1,7583,17518,734,2.74,9.4,7836,19490
hamadibkr11,153,1.08,1.9,7873,8322,89,1.31,2.4,3685,4711
Каїz,33,3.33,8.1,405,1237,859,4.04,15.6,5521,18830
x2jordan. iwnl,64,1.24,1.5,4266,5221,408,1.79,6.2,6530,10939
Twitch Dakilla84,80,1.88,3,2678,4877,325,2.27,4.3,7561,16458
Xen Lvk0 TTV,274,2.31,5.2,5298,11593,773,2.78,11.4,6798,16727
Je2Any Bruce Lee,171,0.93,1.1,16152,14859,76,0.91,0.9,8107,7301
CanDook,1878,2.71,10.1,18604,45245,450,2.89,18.5,2439,5758
Ninjassian,92,1.17,2,4651,5340,382,1.62,5.9,6491,9927
CordobezFer,824,4.21,13.3,6183,22557,1050,4.73,21.2,4942,18411
Betty Drillza,128,0.87,1.1,11525,9863,123,0.78,1.9,6561,5019
SuperBambiPanda,67,0.82,1.1,6200,5038,230,1.29,3.5,6608,8224
ProgramFN,238,2.46,5.3,4464,10406,875,2.68,9.9,8853,21403
Zara Coconut,24,0.62,1.3,1813,1103,337,0.86,4.3,7909,6497
nightrixツ,437,2.13,7.2,6082,12035,444,2.23,9.5,4680,9442
iloucha,739,1.52,3,24789,36657,15,0.93,1.1,1402,1291
Twitch_PuZiiyoッ,290,5.68,21.8,1328,5898,211,6.26,29.9,705,3093
two pay pau,84,1.07,2.6,3202,3324,476,1.5,5.9,8005,11261
Chugga626_TDG,299,0.92,2,15193,13730,27,0.82,1.4,1895,1540
Twitch TritLive,53,1.2,0.5,11463,13696,113,1.37,2.1,5497,7367
SchwarzPanda,4,0.54,3.8,105,55,531,1.1,7.3,7262,7372
TROUBLE 凸-_-凸,33,0.99,1.5,2201,2137,495,1.18,3.6,13896,15756
sky133801,24,1.03,0.4,6106,6247,31,1.16,1.1,2703,3103
JJ.1SHOT-FB,396,2.4,8.6,4605,10121,557,2.79,11.2,4985,12371
ツCasul,44,1.16,3.3,1338,1495,117,1.2,3.6,3246,3760
Redvines,101,1.95,3.8,2633,4925,203,3.98,7.8,2617,9597
Twitch ItsCaedo,73,2.12,5.7,1285,2575,209,2.16,7.7,2726,5449
CoachNick1,120,0.77,3,4006,2974,341,0.64,8.1,4201,2459
Arg-DAVID_KOF,119,1.42,3.1,3881,5347,280,2.27,9.2,3032,6245
کLegustک,148,1.33,2.6,5639,7287,412,1.56,4.2,9733,14511
лegaл ay лол,181,1.09,2,9195,9826,339,1.21,3.3,10425,12155
ᴛᴡɪᴛᴄʜ UMB0T5,185,2.33,3.9,4774,10704,406,2.61,5.3,7617,18820
Ｌ３ＮＮ,171,4.32,19.3,885,3086,788,5.07,29,2715,9776
Serious Hakid,5,0.81,0.5,984,796,65,0.88,1.7,3835,3328
Sahag_TheKing,93,0.95,1.6,5987,5570,228,1.02,2.5,9266,9228
Timzoes,1687,7.67,29.9,5636,30299,776,4.92,20.3,3831,15043
THE PUNISHΞR,15,1.66,2.1,712,1159,177,2.05,7.9,2246,4235
PG.PETER,270,0.96,1.5,18393,17385,236,0.91,2.8,8378,7392
eboyakill,108,0.48,4.8,2258,1022,275,0.21,9.8,2796,528
TTV OTigreChino,214,1.21,2.6,8231,9731,423,1.49,5,8423,11940
Bharat-ka-Sapoot,534,1.3,4.2,12680,15810,228,1.35,5.4,4239,5396
4R4G0R,55,1.15,2.1,2568,2881,297,1.42,5.3,5643,7568
mattG3llo_twtch,72,0.8,0.8,9009,7144,122,1.85,4.7,2591,4560
CIK_Dusha,260,1.48,2.2,11758,16984,194,1.77,3.7,5256,8977
monkey D brg,124,1.09,1.7,7433,7965,363,1.3,3,11967,15104
eLiXr Rhubarb,396,1.82,9.6,4127,6807,1293,2.24,16.4,7880,14780
BotieL,68,1.3,1.5,4459,5730,171,1.71,3.1,5537,9201
Soy malarda,19,0.7,0.4,4246,2939,48,0.85,1,4949,4187
Kubi.,224,1.78,4.8,4627,7835,448,2.23,7.8,5744,11806
vegard.stus,217,2.26,7.4,2951,6190,878,2.85,10.2,8590,21992
G o l d P r o,38,1.19,1.9,1981,2311,151,1.32,3.2,4709,6016
LukeShots,591,1.15,2.8,21096,23615,4,0.81,1.9,209,167
4LK SmiteShotz,678,3.65,10.4,6539,21381,726,3.29,9.9,7353,21802
DDM92ϟ,1,0.75,0.5,221,165,130,1.2,2.8,4627,5403
Zero is back,21,1.05,1.1,1837,1908,531,1.77,4.7,11335,19131
woltaire.,135,2.65,5.1,2647,6664,567,3.69,8,7045,23923
Joe Bゞ,226,3.04,6.2,3629,10334,1042,3.68,8.2,12655,42717
LakisLakis77,34,0.83,0.3,10184,8399,78,1.01,0.6,13300,13372
Quikslik,1693,4.06,26.4,6415,19158,807,4.26,17,4741,16748
Shadyッ,2,0.69,0.3,617,425,205,1.35,5.3,3833,4904
Elesawy_,91,0.82,1.4,6661,5376,414,1.14,3.1,13244,14597
VSC TdSoqueTeS,21,1.32,2.1,1009,1304,246,1.56,7.2,3410,4930
Nightcrawler H2O,65,1.05,1.4,4774,4955,37,1.06,2.1,1742,1813
Dr3ma不,90,1.11,0.7,13833,15213,260,1.3,2,12984,16504
IAM_MBiO,9,0.6,0.4,2158,1286,49,0.58,2.2,2238,1278
사퍼드와이트,13,1.58,2,653,1010,62,2.62,9.1,684,1632
OMEGA.LEB,465,2.92,9.7,4805,12681,945,3.41,14,6727,19733
luсaa 74,396,1.52,2.6,14958,22119,240,2.1,4.6,5259,10548
Scared2Love,27,1.69,4.6,583,939,432,3.89,16.8,2566,8302
KoKo Senpai Ø,159,1.48,8.1,1951,2649,331,1.79,8.9,3711,6051
GrampaJ,208,0.98,1.6,13032,12618,89,1.04,2.7,3315,3363
geovani_L2R2,98,1.4,2.1,4639,6379,318,1.84,3.5,9046,16065
annoyingfish,155,0.84,0.5,34307,28632,4,0.49,0.6,616,299
白 ObG_SɨĐ メωᴱᴱdメ,202,1.61,8,2525,3749,445,1.81,8.7,5133,8490
asdfman151modell,466,2.39,9.3,4990,10797,1404,2.89,14.5,9653,23815
firestorm6876,96,1.2,1,9404,11172,154,1.79,3.1,5033,8753
CaGeDeMiSe,148,1.14,2,7589,8462,150,0.69,2.6,5881,3961
triton SRB,50,0.81,1.1,4454,3586,88,0.79,2.2,3982,3076
Koffe7,600,2.12,5,11996,24173,655,2.54,8.7,7507,17423
AndrewKilburg,474,1.78,4.7,10097,17147,651,1.87,6.8,9518,16594
mr.roachclip420ツ,22,0.41,0.7,3059,1230,148,0.9,2.5,5915,5194
Admiral Floty,177,1.99,4,4439,8499,436,1.94,4.6,9446,17522
ˢʸʳᶤᵃZ3EM,103,0.92,1.2,8481,7680,318,1.34,2.5,12941,16942
Mrožec 20ping,843,1.46,5.7,14806,20392,75,1.44,9,831,1085
Blaack_Toown,211,1,1.5,13888,13629,292,1.3,3,9811,12334
benzopilа,170,1.68,1.7,9796,16145,245,1.79,3,8221,14255
Whistler_ELITE,141,0.83,0.9,16353,13531,117,1.26,2.2,5263,6479
hqr_diver,150,1.31,2,7544,9698,371,2.07,4.7,7966,15759
TTV THEMORIK0,333,1.88,1.7,19227,35477,214,1.81,2.5,8426,14830
Farfadet53,91,1.1,1.8,5053,5448,134,1.13,3.9,3436,3739
NotS0phy,24,1.26,3.1,769,936,396,1.34,5.7,6996,8848
Field_King,3,0.61,0.5,588,358,46,0.85,1.5,3036,2544
Twitch Linixesis,91,3.27,9.9,916,2694,289,5,17.1,1690,7007
Bіxby,144,3.89,8.9,1618,5739,379,4.05,15.2,2500,8587
Walkawaynerd,18,1.12,4.6,393,420,217,1.16,4.5,4865,5401
OVA katoo,682,4.21,13.7,4971,18038,1593,5.01,20.4,7801,31075
Aimbot Bravo,518,2.55,5.7,9117,21955,320,2.48,11.8,2723,5968
Souls OCulien,2,0.34,0.8,249,84,34,0.58,4.1,837,467
Blessed Gastón,145,1.5,1.7,8362,12295,309,1.89,3.1,9842,17975
Mad Kiwi,338,1.46,1.9,17721,25297,7,0.58,0.6,1267,732
60ping Devmaster,264,2.28,5.5,4819,10399,460,1.93,6.8,6793,12238
Monkey D. SHURA,41,0.77,0.9,4499,3414,106,1.03,2.1,5141,5177
PG Kekkobomba,490,2.12,6.6,7460,14790,467,2.35,10.7,4381,9190
SLN QZITU,492,2.03,3.7,13151,25677,241,2.28,5.5,4373,9422
Miro.PL,7,0.29,0.7,1035,298,58,1.14,2.4,2392,2660
SEN LupS,269,4.08,15.6,1729,5964,1565,6.02,29.6,5296,22458
Fortnitedelcaxxo,2,0.54,0.3,708,378,104,1.04,2.1,4905,5000
V0N .,14,1.35,2.4,591,781,115,1.7,4.9,2351,3799
JorgeBeleza,261,1.5,1.6,16511,24330,317,2.54,7.1,4450,10493
Ghizonator,355,3.15,10.5,3384,9546,1382,3.79,15.6,8873,28377
LordSkaarj,224,1.53,2.9,7688,11420,330,2.09,5.4,6063,12010
teryyyyy.0,258,1.76,1.4,18234,31556,302,1.82,2.7,11133,19757
Mechanics-α-,210,1.38,3.1,6823,9139,744,2.12,8.5,8783,17035
IGOR_SENPAI_YT,423,2.28,10.6,3987,8112,891,2.9,18.4,4847,11463
FB GIAN ROCK,102,1.86,4.2,2451,4365,235,1.67,4.5,5247,8366
ANTandLION,356,0.76,3.6,9783,7164,234,0.81,4.1,5691,4447
reKruLz,212,1.89,4.8,4451,8031,521,2.23,7.5,6963,14350
elfyia,44,1.19,3,1456,1682,335,1.5,9.2,3646,4974
dann,216,2.25,8.1,2665,5499,455,3.32,15.4,2964,8332
Sharpie25,41,1.71,3.6,1147,1887,266,1.94,5.8,4565,8338
luizfelipepg,95,1.48,3,3176,4571,283,2.2,6.8,4177,8571
SyfexG,61,1.09,1.3,4584,4950,319,1.16,2.4,13152,14850
Mamdouuhh1,202,1.11,1.7,11862,12973,283,1.23,4.7,6065,7106
roofnman,147,0.75,0.6,23993,17996,4,0.4,0.6,695,276
ItsWiKKiD,1524,5.94,28.4,5360,22781,1662,6.24,33.8,4915,20293
Worlds Burning,340,2.06,6,5667,10970,574,2.25,10.1,5711,11566
ttv Veroxr,776,1.99,5.4,14456,27168,225,2.05,4.7,4835,9442
skv1zi02,88,1.35,1,8900,11857,131,1.75,1.8,7289,12555
дидиска,15,1.11,1.7,909,990,47,0.88,1.8,2654,2292
Dr DeDaO,67,0.66,0.9,7490,4899,313,0.9,2.8,11344,9888
まゆりと,148,1.86,4.8,3090,5459,387,1.89,10.8,3588,6040
9LIVES Crumble,601,3.05,6.9,8656,24541,551,3.52,14.1,3903,11784
LIONJV,151,1.26,4.5,3388,4081,201,1.49,6.5,3110,4326
Pato144000,336,2.25,5.1,6584,14047,504,3.5,11.1,4558,14174
scoop_007,630,3.38,18.3,3450,9528,1177,4.25,21.7,5436,18096
Decent William,4,0.7,0.7,571,399,20,0.79,2.2,920,711
الايم الخربوط,208,1.31,2.9,7077,9026,39,1.47,3,1287,1838
strayaares,24,1.57,5.9,407,601,0,0.85,0,97,82
bestplayeranto,144,1.35,1.5,9321,12403,143,1.53,2.6,5556,8294
Matsi yessir.,101,1.24,1.7,5881,7158,233,1.46,3,7885,11164
sᴢᴇғᴜɴᴄɪᴏ fαѕтєr,65,0.93,0.8,7753,7127,105,0.79,1.1,9590,7534
ALESSIØ10,307,1.9,5.8,5336,9579,749,2.06,10.8,6934,12735
J_Nice04,44,1.11,0.4,10063,11121,80,1.15,0.8,9796,11174
Nox_Max,177,0.89,1.6,10854,9516,114,1.6,3.4,3305,5115
CROPTOP Dylan,106,0.21,0.4,24887,5321,41,0.76,2.2,1880,1389
MrBartell on FB,322,1.94,5.6,5799,10643,612,2.21,6.9,8889,18269
Justiph,299,1.75,3.7,8181,13831,185,1.27,2.8,6598,8134
molaz1,42,1.02,2.2,1869,1863,22,0.86,2.5,886,741
PADRINHO 240Hz,71,1.19,2.5,2821,3273,119,1.6,4.9,2446,3731
DecayingTunaLips,108,0.72,0.5,20193,14464,64,0.6,1.3,4996,2940
CruelShredder,53,0.61,1.5,3504,2107,153,0.76,4.7,3278,2386
PvpUprise.,448,2.36,5.1,8751,19589,435,2.72,7.9,5523,13826
