Player,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills
TTV_RelaxGee,174,2.05,3.3,5232,10392,379,1.99,4.8,7900,14990
Salted.Fishツ,37,1.49,0.8,4516,6684,474,2.07,4.6,10416,20610
TheNewbiieTTV,10,1.22,1.2,863,1037,91,1.36,4,2269,2967
Sparkles_qt,1645,2.69,8.1,20388,50501,199,2.49,11.7,1699,3728
juan ay лол ت,216,1.03,1.2,18101,18455,112,1.23,1.2,9057,11000
MRºRIP,11,0.97,2.7,410,387,0,0.37,0,142,53
Z-Fast-,65,1.81,2.1,3153,5585,925,1.94,4.3,21418,39853
stepbro Disarma,169,1.88,6.4,2643,4655,2276,4.48,19.2,11851,42931
MissJayBtw,64,0.93,1.4,4442,4050,186,1.21,4.6,4065,4694
VEM TRANQUILOO,130,1.05,4.7,2771,2763,143,1.46,4.8,2960,4121
SDHustler-YT,3495,2.73,27.7,12618,24890,467,0.89,23.3,2004,1365
Irøn Ðux,149,1.13,1.1,13787,15400,20,0.93,1.5,1336,1219
Roedor Salvaje,680,2.31,5.8,11676,25415,545,2.33,9.2,5951,12623
Snow on the top,244,1.58,2.6,9530,14652,216,1.69,4.2,5145,8347
kchorro_LôÔko,2193,3.44,20,10977,30204,312,2.38,7.8,4006,8805
Murid ӝ,525,1.86,1.9,27112,49396,277,1.89,3.7,7525,13680
Death 〤,192,1.71,2.8,6911,11457,820,2.26,6.7,12204,25759
thichlachoi,123,0.83,1.8,6873,5569,295,0.79,4.2,6967,5270
ultrа aim assist,467,0.99,3.5,13157,12505,582,1.02,5.9,9824,9437
Damnnn Habibi,66,0.91,1.3,5171,4644,198,0.95,2.1,9504,8869
ashley stinks,2061,5.75,25.3,8139,34971,1631,5.49,26.9,6061,24309
TMojo Pops Addy,1627,2.65,12.3,13209,30703,179,2.26,10.7,1678,3391
VIEJO_MATABOTS,60,0.68,1.7,3574,2373,150,0.6,3.6,4208,2417
11Prochy,559,1.98,4,14078,26816,773,2.5,6.7,11610,27065
ᴄᴏᴅᴇ_ꜰʀ0ɴᴛʟɪɴᴇᴛᴠ,15,0.58,0.2,8380,4862,32,0.65,0.8,3940,2540
GoodMyK,92,1.15,0.9,10401,11903,221,1.36,2,11053,14736
ShootingblanksX,1113,5.1,14.5,7693,33528,779,6.87,17.7,4409,24946
Kromreyli ӝ,524,2.67,5.8,9102,22937,1043,3.24,9,11631,34311
not Adreplays,339,1.46,2.9,11682,16544,570,1.6,6,9520,14341
Zemie,493,3.05,5.2,9392,27099,328,2.63,7.8,4179,10122
UpstateNate518,134,1.12,2.1,6407,7016,232,1.21,2.9,8057,9443
SpartaTheBox,357,2.51,4.5,7976,19087,290,2.63,8.3,3506,8470
Firestorm0_0,132,0.76,2.3,5759,4280,182,0.74,3.1,5821,4200
NOS_Z3R0 TTV,399,3.45,12.6,3176,9581,798,3.55,12.6,6346,19691
E-Girl Batchii,2511,4.09,16.7,15058,51276,518,3.7,11.8,4375,14280
TEBELKING,782,0.95,5.5,14231,12721,2,1.48,6.1,33,46
Βigi,42,1.53,2.8,1514,2248,745,2.27,6.5,11395,24152
D3strі,1687,4.12,12,14005,50791,1982,4.7,20.2,9817,36851
Flor .,64,1.17,6.4,1003,1102,404,1.59,7.3,5551,8188
V I R U S,31,1.03,1.7,1811,1839,76,1.95,6.1,1237,2268
psn(md_fortnite),837,0.97,6.2,13483,12328,118,0.75,6.1,1948,1381
vSymptoms.tv,254,1.86,4.1,6130,10954,442,2.18,4.8,9124,18898
X_X LiX X_X,106,1.24,1.5,6840,8372,125,1.05,1.5,8599,8871
royаl.,85,1.05,0.9,9658,10075,206,1.13,3.1,6723,7350
Shardiny,553,2.05,5.1,10808,21019,241,2.64,11.4,2109,4933
YosoyHavok,588,2.34,4.3,13632,30481,757,2.15,6,12608,25462
Ruѕh,1314,4.76,16.8,7806,30873,932,4.48,17.4,5360,19818
Avxry,2648,5.89,18.3,14446,69513,1665,5.63,23.3,7159,30948
Tp_sergio23,182,0.82,2.1,8575,6847,510,1.38,6.4,8002,10338
byArteer,2341,4.87,22.4,10430,39417,219,5.71,24.3,900,3886
TheZokii,107,2.63,4.6,2351,5912,1506,3.5,12.3,12213,37464
Papa Toson,276,1.36,2.8,9952,13134,163,1.53,4.9,3332,4853
101shanks,70,1.41,1.8,3850,5335,142,1.7,4.9,2920,4717
SpeedArtery YT,6,2.09,15,40,71,380,1.65,7,5459,8389
GAMER لعيب ア,64,0.83,0.6,10276,8452,188,1.46,3.2,5855,8248
Ssu-haib,51,1.48,0.9,5658,8296,146,1.76,1.7,8650,14948
Óbvio éo Tonho,72,1.54,1.8,3957,5983,368,1.95,4.3,8640,16103
xo_niki,30,1.5,4.3,695,997,343,1.37,7.6,4500,5694
Reaperbash,25,1.22,5.6,450,518,271,1.24,5.7,4779,5597
7CH.,134,1.15,1.5,8783,9914,135,2.24,5.9,2282,4818
TSM EmadGG,1186,2.79,7.3,16303,42126,970,2.79,10.9,8883,22094
In7ense.ttv,458,2.63,9.6,4791,11396,837,3.13,10.2,8191,23028
sucukemail-sucuk,1159,2.94,10.4,11135,29329,1430,3.37,13.5,10554,30763
fabry.70,274,1.21,2.7,10247,12022,147,0.54,4.2,3540,1849
DS w4k,385,2.18,4.2,9116,19067,590,2.49,7.3,8103,18736
TimSad,410,1.86,3.3,12598,22681,508,2.19,6.3,8119,16694
DreDenn on YT,29,1.17,2.4,1226,1397,367,1.29,4.6,7950,9795
Hаrukiyo,508,3.65,6.6,7663,26084,528,3.45,9.3,5693,17838
Monoclide,189,0.88,2.8,6862,5891,539,1.65,10,5401,7998
RailCart,456,0.73,1.8,25222,17993,18,0.26,1.2,1562,398
Fαtαlity,309,1.01,2.4,12918,12759,167,0.99,2.2,7432,7212
Microd0t,36,1.58,4.3,846,1282,1053,2.93,15.7,6726,16616
Abboudi,222,1.35,1.1,19867,26461,28,0.77,0.9,3231,2471
Mkay-Ultra,128,1.41,2.2,5784,7967,745,2.7,7.5,9880,24653
Yel FatouMwaka,1096,3.31,15.2,7193,20206,1214,2.95,11.7,10389,27098
SpOkO21,88,0.54,1.1,7863,4235,29,1.87,8,361,620
ℳ o . Ｓ ℽ ℛ,45,1.51,2.4,1896,2799,408,2.08,6,6784,13268
Nick Eh 30,1850,4.47,12.1,15279,60047,1357,4.33,13.8,9813,36652
it-mahdi,207,1.59,5.4,3803,5729,633,1.68,8,7896,12217
TDT_Banishmaster,264,0.48,1.4,18719,8767,151,0.32,3.1,4876,1513
Éson,335,1.52,2.3,14452,21450,373,1.5,3.9,9539,13763
ᵀʷᶦᵗᶜʰMinerimOxe,34,1.36,2.3,1461,1940,149,1.76,3.6,4123,7012
Alpawarrior,372,1.15,1.7,21479,24195,200,0.97,1.7,11451,10961
Noviiis.,1408,3.84,13.8,10201,33751,1186,3.44,12.4,9549,28773
EDOBERI,416,1.43,2.7,15660,21869,0,2.05,0,19,39
KFC_Froggy 蛙組.,28,0.91,1.1,2586,2332,227,1.01,5.3,4322,4127
X_CuScO_X,1748,2.69,10,17399,42156,346,3.26,12.9,2678,7592
TheMagikToxicツ,25,0.66,0.9,2829,1859,316,1.3,4.2,7449,9293
Lady Suralai,3,0.66,1,308,200,172,0.76,6.5,2665,1901
мaykee,283,1.42,1.3,21364,30031,298,1.75,2.9,10377,17659
Giant_Lana,135,0.87,1.5,8865,7560,252,0.78,2.5,10205,7769
Sologaming786,28,1.64,4.4,639,1004,1526,2.96,19.7,7751,18410
PWR Chanzes,1429,4.66,14.1,10155,40674,557,3.01,10.3,5404,14584
MaquinaOvalle,259,0.98,0.8,33151,32093,112,1.02,2.4,4750,4717
3.R,19,1.83,2.5,753,1340,650,2.47,5.7,11464,26758
spuliX,642,2.5,9.6,6695,15116,836,2.85,13.9,6002,14700
oG Fruittyy ツ,96,1.27,1.9,5188,6466,445,1.59,4,11235,17126
Ƀaki Ψ,307,1.28,4.2,7303,8978,163,1.31,4.9,3338,4148
psn(pr-noga),1,0.71,0.4,267,188,3,0.77,1.2,256,195
SS_RAFA,231,2.46,6.3,3688,8490,311,2.1,6.9,4512,8814
packet loss leo,7,1.16,2.8,251,283,119,1.22,3.5,3389,3975
PapaMatze1968,48,0.8,0.4,10849,8683,199,0.74,2.7,7349,5279
TwitchKingcocos,150,0.71,2.8,5318,3658,280,0.59,4.2,6615,3756
MBA-Jancs,189,1,2.3,8208,8054,357,1.79,5.3,6796,11527
AUS_SWAGG,1390,4.55,17.2,8066,30366,1465,4.36,18.1,8091,28895
ozy.man.dias,296,1.08,6.5,4585,4627,352,1.52,10.6,3315,4494
ΨDOX,556,2.34,4.5,12365,27671,936,2.89,9.1,10291,27032
Twitch FRKOH,676,4.23,13.4,5044,18482,765,3.1,10.8,7104,19679
EL PRESUMIDO FB,878,2.39,6.4,13757,30741,223,2.29,5.8,3870,8352
05 ToyseTe,15,0.85,2,763,638,306,1.75,5.8,5273,8705
CRONOS Ω,585,2.15,4.1,14227,29397,509,2.23,8,6391,13121
facu giorgetta29,1483,1.36,7,21071,26728,22,0.82,1.3,1686,1358
88Uncle Jimmy88,57,1.33,1.8,3218,4203,107,0.92,1.4,7607,6910
OG Thunderbons,92,0.91,2,4650,4136,274,1.13,3.2,8553,9329
F.ION MrPotage,215,1.29,1.6,13045,16597,471,1.83,5.1,9314,16172
bencas31,508,0.97,1.6,31362,30042,21,1.21,3.3,646,758
Remister.,105,0.75,1.8,5783,4278,196,0.86,2.5,7837,6540
Sk Fedee,65,1.46,0.8,7880,11411,204,1.66,2.3,9021,14626
JUST SLO7,174,1.28,2.7,6455,8050,566,1.9,4.9,11493,20804
Yanniツ,2243,5.6,23.1,9723,41893,1410,5.46,25.1,5625,23012
FB Alibaba,249,1.64,1.7,14514,23428,257,1.42,2.7,9531,13131
Ratdog Fink,461,1.04,3,15481,15638,51,1.05,2.7,1915,1962
TCE quietin 80,540,3.08,6.6,8183,23534,566,3.3,8,7043,21367
JO hudhud,122,1.8,3.9,3096,5365,450,2.07,6.8,6577,12710
RNG COQTO,810,1.8,3,26853,46884,289,1.6,3.9,7335,11270
BigGipp.ttv,93,2.15,8.6,1080,2119,724,2.18,10.5,6916,13488
Kalaaleq Beast,15,0.89,0.8,1838,1621,232,1.24,3.3,7019,8431
Willya Ben Ova,0,0.26,0,200,52,70,0.98,2.4,2977,2861
RealDeadDylanTTV,139,1.59,3.6,3860,5908,509,2.39,6.7,7649,17068
ҠillswitcҤ,231,0.87,1.6,14102,12066,126,0.77,3.6,3471,2586
pepeluvil,92,0.82,2.1,4421,3539,221,0.84,2.1,10461,8630
W-Barrett_ONE,528,3.67,13.9,3792,11981,576,3.52,15.1,3809,11382
Mikest584,0,0.53,0,209,110,90,0.99,4.2,2163,2054
GordinDaTwitch,52,2.3,9.1,570,1191,939,3.8,16.5,5698,18083
ChickPhilay,38,1.5,2.1,1803,2651,191,1.74,4.9,3919,6500
Settióp,1754,4.19,13.9,12659,45662,537,2.95,15.2,3544,8873
binedebił,194,2.64,8.5,2276,5503,1027,3.33,13.3,7741,22333
GamingwGhoulTV,26,1.97,6.4,408,753,124,2.69,9.5,1302,3167
whﱞiskey,15,1.1,6,248,257,290,1.45,8.3,3500,4643
a Glad Lad,108,1.2,0.9,11496,13631,178,1.47,2.2,8170,11717
MBG-Muallim-Naci,301,1.4,0.9,32776,45588,184,1.59,2.2,8275,12850
itsjust_Ivy_,9,0.88,0.3,2769,2427,57,0.89,2.9,1995,1723
Ar1us.,222,1.38,1.5,14986,20336,166,1.55,2.8,5970,8978
Flames Getteyyy,708,3.01,7.9,8956,24853,852,3.54,11.6,7352,22992
SouuThY,440,4.45,13.7,3222,12389,1661,5.11,19.4,8561,35235
MåÐamButterƒly,80,0.64,1.7,4774,3020,498,0.73,3.9,12706,8922
miniyo2,5,0.28,0.8,597,166,80,0.55,2.1,3771,2045
ttwyla,63,2.23,6.5,964,2008,872,1.62,7.5,11613,17404
Tishø,28,0.24,0.2,14316,3500,153,0.82,2,7696,6170
Code DashCb,138,1.44,5.6,2457,3342,439,1.68,8.9,4924,7522
Jacobreyli ӝ,286,1.7,2.5,11346,18754,335,2.02,4.3,7745,14961
djharrymusicTV,74,1.15,1.2,6112,6973,346,1.41,4.4,7895,10679
B4SH4R ӝ,294,1.56,1.8,15989,24448,192,1.47,2.8,6807,9696
TM mohamad,47,0.85,1.4,3390,2842,126,1.07,1.9,6664,6984
TREEPROBLEMS,430,1.95,3.5,12174,22950,907,2.21,10.1,9024,17930
JustBlameJoshTV,4,0.72,2.2,185,131,274,0.96,5.5,4989,4547
jmoe161 TV,1044,5.86,18.7,5579,26593,1034,4.79,14.2,7305,30066
JKForsaken,560,3.23,9.3,6002,17588,1313,4.39,12.3,10681,41151
BottedFPS,293,1.9,2.4,12187,22571,482,1.74,3,15869,26711
The Gorg,78,0.83,3.2,2468,1986,164,1.04,3.9,4243,4252
Erkan does care,74,0.56,1.1,6930,3862,7,0.57,2.1,326,182
KUUBi-,156,1.65,0.9,17729,28936,157,1.89,2.6,6063,11183
Evening0 Twitch,14,0.92,0.8,1837,1681,186,1.04,3.1,5987,6012
ToXic_Crispin,22,0.92,1.1,1922,1740,357,1.47,6,5921,8194
Typical Gamer,2222,6.03,19.8,11219,54262,1170,5.51,20.7,5646,24682
Rinyache32,231,1.68,1.5,14930,24710,184,1.61,2.9,6352,9937
AuhurAlter,371,3.18,17.5,2121,5571,414,3.25,12.4,3336,9486
Mr chatman,75,0.94,1,7276,6772,213,1.17,3.1,6873,7811
Lίquid mίtr0,816,3.75,5.5,14758,52215,552,4.56,12.4,4467,17864
SP7_Sepo,83,0.73,1.2,7115,5165,273,1.08,3.1,8857,9299
give me pasta,4486,5.91,44.1,10166,33570,351,3.5,20.9,1677,4641
LaLaLa Lowla,16,1.45,1.7,946,1348,78,1.96,5.3,1465,2723
Last_Samurai_10,61,0.67,0.6,10617,7047,243,0.84,2.3,10667,8742
S3Saint,22,0.92,1.6,1400,1263,98,1.06,1.7,5771,5992
TTV UntamedFN,1486,4.15,27,5496,16653,214,2.91,10,2131,5583
Mahou_Twitch,225,1.27,1.3,16726,21004,187,1.69,2.6,7332,12049
Doϲtor,25,1.38,1.7,1435,1945,596,1.47,4.9,12217,17118
OVA Flyy,396,2.86,6.2,6352,17012,841,3.09,9.2,9157,25669
VALtheVAL,840,2.23,7.8,10781,22153,859,2.98,11.2,7672,20291
semm1234,3454,6.95,22.1,15635,84716,1496,5.78,19.2,7802,36462
Slowly Not Back,2201,3.21,19,11565,30073,77,1.22,2.2,3515,4203
lalana043,12,1.11,1.7,702,766,76,0.83,1.9,3964,3234
claystehling,588,1.85,5.1,11480,20163,867,2.23,8.6,10050,20446
6GAMEOVER9 何,135,1.3,2.4,5531,7023,239,1.48,4,5931,8409
twitch_ruiziNNN,60,1.23,0.7,9127,11184,199,1.41,2,10032,13893
CloudCatzz,325,0.55,1.4,22599,12148,120,1.28,4,3025,3706
SaDD_SharukhYT,365,1.65,5.2,7040,11026,531,1.85,7.2,7336,12606
toneyssj,1103,2.54,8.2,13412,31211,260,2.1,6.4,4065,8009
Twitch TƑreire,1073,3.39,9.9,10885,33234,1108,3.53,10.5,10583,33424
Newcloak,168,0.65,0.7,22427,14430,32,1.01,2.8,1160,1141
47_shadow,135,1.88,4.3,3134,5639,109,1.73,3.9,2778,4606
Twitch Laterree,178,1.59,1.6,10907,17050,388,1.82,3.7,10630,18629
MӨПΣY,54,0.75,1,5292,3911,295,1.08,2.5,11801,12450
B.GoD_AsK,220,1.03,1.8,12299,12486,304,0.92,3.5,8746,7778
SSOJ-User,51,0.82,0.6,8965,7310,372,1.19,2.4,15688,18223
Shadowslyrcat,127,1.43,3,4178,5808,493,1.66,3.6,13666,21891
FB_Moose,72,1.21,6.8,1063,1197,289,1.36,8.6,3363,4185
Blaze Zzzz,95,1.24,1.6,6090,7434,474,1.46,4.7,10056,13961
VitunAuti041ツ,13,1.41,7.1,182,238,250,2.28,13,1926,3818
SIMP De Yizuz,549,2.68,6.3,8774,22047,620,2.47,7.5,8295,18920
KOBRA-BG,265,1.2,6.7,3963,4440,358,1.06,9.3,3837,3673
Clasѕy,273,3.32,11.9,2293,6716,620,2.32,6.4,9677,21021
PEROALIENX,85,1.15,0.4,19167,21986,233,1.1,1.8,12846,13899
SypherPK,4115,7.16,28.5,14436,73948,919,4.2,18.2,5051,17360
PWA -KiLLUmiNaTI,153,0.89,1,14574,12793,292,0.94,2.9,10168,9279
INFOWARS 2021,245,0.98,3.1,8000,7623,0,0.31,0,112,35
milanko11,11,0.96,2.1,532,498,172,0.97,3.2,5370,5035
BarbieTown,9,0.5,0.9,973,485,595,0.85,3.6,16672,13634
Sherwood-,130,2.29,6.2,2105,4513,924,3.28,14.6,6312,17666
paralen01,42,0.94,1.5,2734,2530,197,1.49,3.1,6366,9195
PSEUDOVULGAIRE,77,1.57,3.7,2106,3183,308,2.13,7.4,4135,8134
YT Corran Drake,221,1.07,1.7,13355,14118,166,1.26,4.3,3846,4655
Lucky_LLukK,134,1.49,7.8,1709,2344,330,1.55,9.4,3504,4909
ᴹᶠᴳ Hogsmeade,84,2.24,4.4,1916,4101,386,2.82,10.8,3573,8988
Bot_TexasTim,23,0.52,0.3,7972,4144,141,0.65,2.7,5304,3351
poppingHasan,854,1.65,6.5,13066,20095,306,1.97,5.8,5257,9747
BoiseBalla,482,2.58,7.7,6258,14903,829,2.23,9.9,8381,16875
Shahri25,495,1.3,3.8,12987,16187,354,1.69,8.9,3983,6129
Mesmeress 74,253,1.56,2,12823,19583,317,1.85,3.6,8826,15781
Sol1101,195,0.67,0.8,24785,16510,,,,,
WinterHaven,139,0.72,3,4567,3204,201,0.99,4.5,4465,4242
Twitch Activas,84,1.86,3.5,2398,4311,503,1.54,3.3,15402,22886
Scentiic,216,1.2,1.1,19329,22921,174,1.21,1.6,10979,13039
RS ツRAYZU on FBツ,317,1.08,3.8,8268,8584,245,1.26,5,4900,5879
THE_CONTRACTOR,17,0.68,0.3,6727,4563,157,1.03,3.2,4932,4899
12am Padster,946,2.73,13.1,7235,17164,109,1.68,4.8,2291,3673
Putsiez ӝ,467,1.92,3.1,15262,28370,694,2.21,6.5,10718,22195
