Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
11Prochy,1615140,559,1.98,4,14078,26816,58028
ᴄᴏᴅᴇ_ꜰʀ0ɴᴛʟɪɴᴇᴛᴠ,1409461,15,0.58,0.2,8380,4862,70284
GoodMyK,1649346,92,1.15,0.9,10401,11903,73735
ShootingblanksX,2492009,1113,5.1,14.5,7693,33528,76011
Kromreyli ӝ,1130164,524,2.67,5.8,9102,22937,43389
not Adreplays,1574078,339,1.46,2.9,11682,16544,65881
Zemie,896707,493,3.05,5.2,9392,27099,30362
UpstateNate518,637402,134,1.12,2.1,6407,7016,27794
SpartaTheBox,863057,357,2.51,4.5,7976,19087,30140
Firestorm0_0,957144,132,0.76,2.3,5759,4280,41939
NOS_Z3R0 TTV,606741,399,3.45,12.6,3176,9581,20024
E-Girl Batchii,3845483,2511,4.09,16.7,15058,51276,130026
TEBELKING,4784847,782,0.95,5.5,14231,12721,257745
Βigi,208402,42,1.53,2.8,1514,2248,8931
D3strі,1989566,1687,4.12,12,14005,50791,65320
Flor .,136092,64,1.17,6.4,1003,1102,5688
V I R U S,197088,31,1.03,1.7,1811,1839,7799
psn(md_fortnite),3884285,837,0.97,6.2,13483,12328,175313
vSymptoms.tv,955749,254,1.86,4.1,6130,10954,42786
X_X LiX X_X,1175715,106,1.24,1.5,6840,8372,48957
royаl.,836374,85,1.05,0.9,9658,10075,37393
Shardiny,1889613,553,2.05,5.1,10808,21019,72202
YosoyHavok,1945735,588,2.34,4.3,13632,30481,67872
Ruѕh,2160464,1314,4.76,16.8,7806,30873,66014
Avxry,2635603,2648,5.89,18.3,14446,69513,80092
Tp_sergio23,1290487,182,0.82,2.1,8575,6847,60371
byArteer,3809643,2341,4.87,22.4,10430,39417,121281
TheZokii,344837,107,2.63,4.6,2351,5912,11150
Papa Toson,1953617,276,1.36,2.8,9952,13134,79177
101shanks,431941,70,1.41,1.8,3850,5335,17043
SpeedArtery YT,11051,6,2.09,15,40,71,421
GAMER لعيب ア,1353024,64,0.83,0.6,10276,8452,61901
Ssu-haib,569842,51,1.48,0.9,5658,8296,22241
Óbvio éo Tonho,350908,72,1.54,1.8,3957,5983,13223
xo_niki,91820,30,1.5,4.3,695,997,3509
Reaperbash,99113,25,1.22,5.6,450,518,4055
7CH.,1358807,134,1.15,1.5,8783,9914,58912
TSM EmadGG,1735036,1186,2.79,7.3,16303,42126,70789
In7ense.ttv,907017,458,2.63,9.6,4791,11396,37241
sucukemail-sucuk,1995810,1159,2.94,10.4,11135,29329,63696
fabry.70,2672310,274,1.21,2.7,10247,12022,116844
DS w4k,1353350,385,2.18,4.2,9116,19067,52263
TimSad,1706934,410,1.86,3.3,12598,22681,65919
DreDenn on YT,153532,29,1.17,2.4,1226,1397,6569
Hаrukiyo,1821087,508,3.65,6.6,7663,26084,63927
Monoclide,1220114,189,0.88,2.8,6862,5891,53894
RailCart,4479084,456,0.73,1.8,25222,17993,202919
Fαtαlity,2439235,309,1.01,2.4,12918,12759,113497
Microd0t,114356,36,1.58,4.3,846,1282,4175
Abboudi,3929948,222,1.35,1.1,19867,26461,162462
Mkay-Ultra,893152,128,1.41,2.2,5784,7967,37567
Yel FatouMwaka,984681,1096,3.31,15.2,7193,20206,34751
SpOkO21,1403116,88,0.54,1.1,7863,4235,70998
ℳ o . Ｓ ℽ ℛ,256506,45,1.51,2.4,1896,2799,10095
Nick Eh 30,2055217,1850,4.47,12.1,15279,60047,69147
it-mahdi,856446,207,1.59,5.4,3803,5729,34059
TDT_Banishmaster,3153732,264,0.48,1.4,18719,8767,169810
Éson,1632394,335,1.52,2.3,14452,21450,60481
ᵀʷᶦᵗᶜʰMinerimOxe,217015,34,1.36,2.3,1461,1940,9074
Alpawarrior,2257251,372,1.15,1.7,21479,24195,94431
Noviiis.,1863400,1408,3.84,13.8,10201,33751,60022
EDOBERI,4212928,416,1.43,2.7,15660,21869,179289
KFC_Froggy 蛙組.,448050,28,0.91,1.1,2586,2332,20497
X_CuScO_X,3355052,1748,2.69,10,17399,42156,112601
TheMagikToxicツ,165230,25,0.66,0.9,2829,1859,7237
Lady Suralai,50303,3,0.66,1,308,200,2268
мaykee,2219680,283,1.42,1.3,21364,30031,83417
Giant_Lana,1247739,135,0.87,1.5,8865,7560,53043
Sologaming786,113232,28,1.64,4.4,639,1004,4757
PWR Chanzes,2368003,1429,4.66,14.1,10155,40674,68542
MaquinaOvalle,3636329,259,0.98,0.8,33151,32093,144896
3.R,107967,19,1.83,2.5,753,1340,4338
spuliX,1333281,642,2.5,9.6,6695,15116,48072
oG Fruittyy ツ,792916,96,1.27,1.9,5188,6466,33666
Ƀaki Ψ,1772425,307,1.28,4.2,7303,8978,75622
psn(pr-noga),39153,1,0.71,0.4,267,188,1795
SS_RAFA,852746,231,2.46,6.3,3688,8490,31144
packet loss leo,16610,7,1.16,2.8,251,283,692
PapaMatze1968,1228065,48,0.8,0.4,10849,8683,53952
TwitchKingcocos,1015752,150,0.71,2.8,5318,3658,47092
MBA-Jancs,1142160,189,1,2.3,8208,8054,51285
AUS_SWAGG,1445416,1390,4.55,17.2,8066,30366,48488
ozy.man.dias,1394628,296,1.08,6.5,4585,4627,61094
ΨDOX,1552279,556,2.34,4.5,12365,27671,51659
Twitch FRKOH,1058530,676,4.23,13.4,5044,18482,31124
EL PRESUMIDO FB,2617805,878,2.39,6.4,13757,30741,92294
05 ToyseTe,44816,15,0.85,2,763,638,1860
CRONOS Ω,2253768,585,2.15,4.1,14227,29397,77171
facu giorgetta29,4253032,1483,1.36,7,21071,26728,181514
88Uncle Jimmy88,550169,57,1.33,1.8,3218,4203,22158
OG Thunderbons,824131,92,0.91,2,4650,4136,35341
F.ION MrPotage,1574965,215,1.29,1.6,13045,16597,62326
bencas31,4228743,508,0.97,1.6,31362,30042,183484
Remister.,749116,105,0.75,1.8,5783,4278,32494
Sk Fedee,958062,65,1.46,0.8,7880,11411,37844
JUST SLO7,786949,174,1.28,2.7,6455,8050,30568
Yanniツ,2504274,2243,5.6,23.1,9723,41893,79342
FB Alibaba,2151461,249,1.64,1.7,14514,23428,87655
Ratdog Fink,3582969,461,1.04,3,15481,15638,162042
TCE quietin 80,1617342,540,3.08,6.6,8183,23534,57903
JO hudhud,447257,122,1.8,3.9,3096,5365,16819
RNG COQTO,3287848,810,1.8,3,26853,46884,131283
BigGipp.ttv,181871,93,2.15,8.6,1080,2119,7098
Kalaaleq Beast,282860,15,0.89,0.8,1838,1621,12701
Willya Ben Ova,9636,0,0.26,0,200,52,526
