Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
Dheylo Granjero,2060412,1553,3.91,14.1,11009,36977,70212
N3W_ST4R_M3,859542,159,1.22,1.3,12576,15208,35373
evox x Liswe,1637092,104,0.69,0.7,14154,9640,75912
nɹǝԀ ɹǝpʍƎ,2731523,252,0.89,1.8,14269,12459,130027
BigPapiStriker,978377,483,1.99,10.4,4664,8336,37351
SAVAGE 义,673901,64,1.1,1.2,5428,5874,26719
DramaCorn,975279,577,2.2,8.6,6748,13601,33713
WilsonTheThird,2048436,542,1.41,4.6,11850,15987,84342
ғᴀᴢᴇ ARAKA29_ツ,303044,51,1.29,3.1,1661,2082,12518
primal kcazzy,287561,28,1.31,1.3,2233,2886,11869
TTV cdogz12345,519871,152,0.91,2.2,6839,6107,21748
Lvstphoenix,342443,9,0.61,0.3,2873,1735,15843
da_Kìlo,1191346,315,1.56,3.5,8953,13509,46068
RK Hysteria,634098,105,1.22,1.8,5747,6880,24935
СROUSE,898923,214,1.64,4.7,4532,7078,40160
Stefan -,716471,55,0.89,1.3,4259,3758,32131
استغفرالله ّ ّ,481074,22,0.75,0.3,8171,6129,20907
nugメ,971611,155,0.64,2.7,5678,3525,44370
UZB050,164537,17,0.72,1.2,1390,989,7574
Liquid Harmii,1765726,1079,3.53,8.2,13217,42845,66442
Trévon,1450020,533,2.19,8.9,6003,11958,53159
cerin7,1145368,528,2.59,4.7,11223,27689,39628
CL4NPlayer TTV,278258,48,1.24,3.7,1290,1542,11934
Fen1x Recargado,1218493,78,0.57,1.1,7311,4153,56968
duokiller82,1798875,157,0.94,1.6,9937,9205,80297
DeskPopDave TTV,1220980,124,0.89,1.6,7521,6558,53346
GW_Nephrite,2598256,2305,4.96,21.7,10600,41168,92513
juansit0_BEAT,441743,103,1.36,1.3,7954,10652,17408
KyoFN TV,655956,271,2.05,3.9,6861,13517,23416
VKS rezende,1117936,267,2.81,4.9,5480,14651,41069
Dougall Ya DiGG,60930,21,2.32,4.9,426,938,2121
zbrore,2053725,182,1.2,1.2,14748,17548,87314
娜勒杰迪诶迪勒,519443,62,0.94,1.2,5068,4690,22984
4 Not Hellfire,847923,257,2.55,4,6378,15593,32285
Hazardous Logic,429303,25,1.34,1.2,2166,2878,19433
illuminanceTTV,593994,187,2.97,8.1,2296,6266,21960
GEIL MaXiGuM,44567,4,1.14,0.9,425,481,1798
GeneralMarkan,1330102,66,0.4,0.7,9404,3774,63125
Bunny ӝ,1127320,453,4.03,11.8,3847,13684,38512
C.p_98,570415,77,1.01,1.5,5243,5211,24936
KingFlippurPlays,488745,59,1.09,1.9,3116,3323,20486
Softе,1492867,1882,5.08,18.3,10262,42582,50254
病む病む_,1180241,757,4.5,20.5,3698,13247,38963
not sad bent,551153,378,3.02,8.9,4257,11707,21962
Dom only,1679934,155,1.16,1.4,11377,12983,68088
VegboyWonder,3655496,519,0.73,4.9,10531,7335,169273
P Patrol67,1933301,100,1.49,1,9701,14263,77392
PewLookAlike,101486,7,0.44,0.5,1331,587,5166
Fivaxe,1753631,173,1.33,1.4,12242,15999,73168
Panzerッ,1319654,573,2.88,12.9,4454,11196,48883
Frank372,2053098,30,0.94,0.1,23640,22265,79893
whoSavvy TTV,271199,31,1.1,1,3153,3438,11156
Mencho1x,1639308,191,1.87,1.7,11484,21163,61331
verdu.,2217284,349,1.41,2.2,15577,21421,91800
frayLingers,691452,357,3.53,14.6,2438,7339,24206
npen,2335210,1167,4.41,10.8,10759,42312,78520
mɑster,1357398,789,4.79,11.9,6611,27904,43788
6GG,153262,34,1.63,4.5,762,1186,6670
CrAzZy GiRLツ,471294,73,1.07,1.3,5756,6071,19337
butchersdr,72720,17,1.32,2,868,1125,2980
MaCleanAR,574257,40,0.91,0.8,5109,4629,25779
nAsTYxbone,85869,21,1.36,6.1,343,438,3838
EDCOMED,1665274,177,0.92,2,9004,8146,83480
Spary 69,1359115,186,0.97,2.8,6707,6296,58187
scoutii poo,1560451,644,3.63,9.4,6840,22521,50754
Zoe ム,148859,52,2.04,6.9,755,1433,5478
Mr_Foco_ ON IG,282493,25,0.77,0.9,2917,2239,12140
69ッッッ,370635,350,5.19,24.9,1405,5472,11860
Ghizzawi-_-,373394,144,1.62,3.5,4171,6521,13395
Nekkern88,2836067,307,0.84,2.4,12921,10587,134131
keyboardreyli,790158,405,2.75,14.4,2806,6594,28710
crazy noob21,737878,119,0.78,2.8,4237,3192,32246
ｲﾘムﾑ,149366,32,1.86,5.3,608,1071,5801
Haitorii,298974,25,1.12,1.2,2163,2400,13657
JINZﱞO,1044079,551,2.77,7.1,7731,19911,36164
StyxiΨ,207069,15,0.75,1.1,1320,985,9573
WraithFunky,1326908,126,1.37,1.9,6616,8906,54063
GayPrideGamer,629720,69,1.08,2,3475,3663,28043
bib_hop,43836,1,1.07,0.4,248,265,1911
KKILLER ANGEL,225146,9,0.7,0.5,1964,1368,10122
UwU Cthulhu,103389,19,0.95,1.7,1104,1026,4550
rac711,107596,12,1.01,2.9,413,404,4620
Liquid Alixxa,3015392,1726,3.4,14.3,12051,35148,103137
XxS_Wingert,1491024,375,0.61,5.2,7148,4106,69489
Venasty Ankou,740901,164,1.57,2.6,6239,9546,28742
pughiee,107836,95,2.54,5.4,1770,4259,4118
FraGmenT23,799701,208,1.26,4.3,4855,5860,35984
Jaiden Maynee,380673,145,2.31,7.6,1920,4100,14870
fat deg on kava,6929,3,0.95,2.8,108,100,311
Jano0o_o,68895,11,1.12,2.5,432,473,2907
Jeninator_,910273,222,1.56,1.8,12302,18802,34291
BEQA paranoia,1545200,1070,2.69,14.1,7583,17518,57967
hamadibkr11,1361366,153,1.08,1.9,7873,8322,58277
Каїz,20425,33,3.33,8.1,405,1237,739
x2jordan. iwnl,483471,64,1.24,1.5,4266,5221,18315
Twitch Dakilla84,296368,80,1.88,3,2678,4877,10248
Xen Lvk0 TTV,1022652,274,2.31,5.2,5298,11593,40079
Je2Any Bruce Lee,2086999,171,0.93,1.1,16152,14859,92016
CanDook,3182460,1878,2.71,10.1,18604,45245,132399
Ninjassian,539506,92,1.17,2,4651,5340,21144
CordobezFer,1188186,824,4.21,13.3,6183,22557,38747
Betty Drillza,1699152,128,0.87,1.1,11525,9863,74110
SuperBambiPanda,1034594,67,0.82,1.1,6200,5038,48188
ProgramFN,497311,238,2.46,5.3,4464,10406,15480
Zara Coconut,255935,24,0.62,1.3,1813,1103,12063
nightrixツ,766991,437,2.13,7.2,6082,12035,30162
iloucha,3743291,739,1.52,3,24789,36657,146649
Twitch_PuZiiyoッ,142442,290,5.68,21.8,1328,5898,4797
two pay pau,470396,84,1.07,2.6,3202,3324,19603
Chugga626_TDG,3382617,299,0.92,2,15193,13730,159684
Twitch TritLive,1022342,53,1.2,0.5,11463,13696,43663
SchwarzPanda,16166,4,0.54,3.8,105,55,771
TROUBLE 凸-_-凸,298375,33,0.99,1.5,2201,2137,12848
sky133801,554354,24,1.03,0.4,6106,6247,22566
JJ.1SHOT-FB,976925,396,2.4,8.6,4605,10121,35932
ツCasul,260127,44,1.16,3.3,1338,1495,11123
Redvines,554686,101,1.95,3.8,2633,4925,22038
Twitch ItsCaedo,156278,73,2.12,5.7,1285,2575,6003
CoachNick1,941913,120,0.77,3,4006,2974,43289
Arg-DAVID_KOF,651508,119,1.42,3.1,3881,5347,25270
کLegustک,942381,148,1.33,2.6,5639,7287,41355
лegaл ay лол,1100980,181,1.09,2,9195,9826,46487
ᴛᴡɪᴛᴄʜ UMB0T5,877390,185,2.33,3.9,4774,10704,31754
Ｌ３ＮＮ,268302,171,4.32,19.3,885,3086,9020
Serious Hakid,114613,5,0.81,0.5,984,796,5000
Sahag_TheKing,578252,93,0.95,1.6,5987,5570,24786
Timzoes,2191114,1687,7.67,29.9,5636,30299,61124
THE PUNISHΞR,112924,15,1.66,2.1,712,1159,4442
PG.PETER,1826254,270,0.96,1.5,18393,17385,76812
eboyakill,632640,108,0.48,4.8,2258,1022,30346
TTV OTigreChino,1149428,214,1.21,2.6,8231,9731,47854
Bharat-ka-Sapoot,2663593,534,1.3,4.2,12680,15810,106132
4R4G0R,446945,55,1.15,2.1,2568,2881,18964
mattG3llo_twtch,650982,72,0.8,0.8,9009,7144,26777
CIK_Dusha,1800395,260,1.48,2.2,11758,16984,71372
monkey D brg,966522,124,1.09,1.7,7433,7965,42196
eLiXr Rhubarb,536894,396,1.82,9.6,4127,6807,20393
BotieL,701606,68,1.3,1.5,4459,5730,30718
Soy malarda,319024,19,0.7,0.4,4246,2939,14345
Kubi.,843378,224,1.78,4.8,4627,7835,34402
vegard.stus,283553,217,2.26,7.4,2951,6190,11733
G o l d P r o,261820,38,1.19,1.9,1981,2311,10969
LukeShots,3460801,591,1.15,2.8,21096,23615,141823
4LK SmiteShotz,1285042,678,3.65,10.4,6539,21381,43926
DDM92ϟ,28676,1,0.75,0.5,221,165,1368
Zero is back,220813,21,1.05,1.1,1837,1908,9125
woltaire.,545158,135,2.65,5.1,2647,6664,22155
Joe Bゞ,556406,226,3.04,6.2,3629,10334,22441
LakisLakis77,1066846,34,0.83,0.3,10184,8399,45432
Quikslik,1423278,1693,4.06,26.4,6415,19158,50948
Shadyッ,11196,2,0.69,0.3,617,425,495
Elesawy_,491821,91,0.82,1.4,6661,5376,20492
VSC TdSoqueTeS,176501,21,1.32,2.1,1009,1304,7238
Nightcrawler H2O,1048395,65,1.05,1.4,4774,4955,48037
Dr3ma不,953990,90,1.11,0.7,13833,15213,38458
IAM_MBiO,295007,9,0.6,0.4,2158,1286,15648
사퍼드와이트,94620,13,1.58,2,653,1010,3803
OMEGA.LEB,699198,465,2.92,9.7,4805,12681,23441
luсaa 74,2076290,396,1.52,2.6,14958,22119,86748
Scared2Love,127074,27,1.69,4.6,583,939,5491
KoKo Senpai Ø,544146,159,1.48,8.1,1951,2649,23398
GrampaJ,1998487,208,0.98,1.6,13032,12618,83949
geovani_L2R2,701518,98,1.4,2.1,4639,6379,29805
annoyingfish,3643995,155,0.84,0.5,34307,28632,155638
白 ObG_SɨĐ メωᴱᴱdメ,513201,202,1.61,8,2525,3749,20288
asdfman151modell,691670,466,2.39,9.3,4990,10797,26847
firestorm6876,1672679,96,1.2,1,9404,11172,70248
CaGeDeMiSe,1097356,148,1.14,2,7589,8462,44980
triton SRB,603873,50,0.81,1.1,4454,3586,25848
Koffe7,1880297,600,2.12,5,11996,24173,75339
AndrewKilburg,1184119,474,1.78,4.7,10097,17147,45700
mr.roachclip420ツ,408060,22,0.41,0.7,3059,1230,19977
Admiral Floty,688684,177,1.99,4,4439,8499,24208
ˢʸʳᶤᵃZ3EM,705196,103,0.92,1.2,8481,7680,29227
Mrožec 20ping,3350602,843,1.46,5.7,14806,20392,135437
Blaack_Toown,1335739,211,1,1.5,13888,13629,55343
benzopilа,1375314,170,1.68,1.7,9796,16145,53993
Whistler_ELITE,1919822,141,0.83,0.9,16353,13531,80337
hqr_diver,1394681,150,1.31,2,7544,9698,56276
TTV THEMORIK0,2269954,333,1.88,1.7,19227,35477,89241
Farfadet53,931017,91,1.1,1.8,5053,5448,38150
NotS0phy,73768,24,1.26,3.1,769,936,3001
Field_King,112991,3,0.61,0.5,588,358,5296
Twitch Linixesis,233201,91,3.27,9.9,916,2694,8128
Bіxby,138125,144,3.89,8.9,1618,5739,5202
Walkawaynerd,64260,18,1.12,4.6,393,420,2893
OVA katoo,783601,682,4.21,13.7,4971,18038,28297
Aimbot Bravo,1624385,518,2.55,5.7,9117,21955,57566
Souls OCulien,53812,2,0.34,0.8,249,84,2741
Blessed Gastón,1303388,145,1.5,1.7,8362,12295,51664
Mad Kiwi,2737653,338,1.46,1.9,17721,25297,107703
60ping Devmaster,1046247,264,2.28,5.5,4819,10399,37183
Monkey D. SHURA,494448,41,0.77,0.9,4499,3414,22105
PG Kekkobomba,950774,490,2.12,6.6,7460,14790,39324
SLN QZITU,2212687,492,2.03,3.7,13151,25677,86953
Miro.PL,167345,7,0.29,0.7,1035,298,7988
SEN LupS,483798,269,4.08,15.6,1729,5964,15846
Fortnitedelcaxxo,48699,2,0.54,0.3,708,378,2296
V0N .,110967,14,1.35,2.4,591,781,4956
JorgeBeleza,2209181,261,1.5,1.6,16511,24330,86062
Ghizonator,452557,355,3.15,10.5,3384,9546,16057
LordSkaarj,949377,224,1.53,2.9,7688,11420,37062
teryyyyy.0,1832178,258,1.76,1.4,18234,31556,65086
Mechanics-α-,833968,210,1.38,3.1,6823,9139,32278
IGOR_SENPAI_YT,959935,423,2.28,10.6,3987,8112,35276
FB GIAN ROCK,410351,102,1.86,4.2,2451,4365,15038
ANTandLION,2050626,356,0.76,3.6,9783,7164,91803
reKruLz,323012,212,1.89,4.8,4451,8031,12745
elfyia,136294,44,1.19,3,1456,1682,5601
dann,669919,216,2.25,8.1,2665,5499,25624
Sharpie25,53042,41,1.71,3.6,1147,1887,1860
luizfelipepg,609327,95,1.48,3,3176,4571,25354
SyfexG,465944,61,1.09,1.3,4584,4950,18437
Mamdouuhh1,1710635,202,1.11,1.7,11862,12973,71596
roofnman,3574550,147,0.75,0.6,23993,17996,162815
ItsWiKKiD,1504600,1524,5.94,28.4,5360,22781,47930
Worlds Burning,1083480,340,2.06,6,5667,10970,40576
ttv Veroxr,2753337,776,1.99,5.4,14456,27168,113956
skv1zi02,1192407,88,1.35,1,8900,11857,48038
дидиска,155508,15,1.11,1.7,909,990,6538
Dr DeDaO,1109659,67,0.66,0.9,7490,4899,54192
まゆりと,667104,148,1.86,4.8,3090,5459,26264
9LIVES Crumble,1879885,601,3.05,6.9,8656,24541,73607
LIONJV,712953,151,1.26,4.5,3388,4081,31096
Pato144000,1289327,336,2.25,5.1,6584,14047,43682
scoop_007,839223,630,3.38,18.3,3450,9528,28482
Decent William,74511,4,0.7,0.7,571,399,3278
الايم الخربوط,851860,208,1.31,2.9,7077,9026,34494
strayaares,106478,24,1.57,5.9,407,601,4727
bestplayeranto,1453089,144,1.35,1.5,9321,12403,62632
Matsi yessir.,774395,101,1.24,1.7,5881,7158,33197
sᴢᴇғᴜɴᴄɪᴏ fαѕтєr,911478,65,0.93,0.8,7753,7127,39048
ALESSIØ10,1081079,307,1.9,5.8,5336,9579,42756
J_Nice04,1676811,44,1.11,0.4,10063,11121,75258
Nox_Max,752981,177,0.89,1.6,10854,9516,32636
CROPTOP Dylan,3439496,106,0.21,0.4,24887,5321,220536
MrBartell on FB,1076723,322,1.94,5.6,5799,10643,44984
Justiph,1419572,299,1.75,3.7,8181,13831,51526
molaz1,344375,42,1.02,2.2,1869,1863,14717
PADRINHO 240Hz,564455,71,1.19,2.5,2821,3273,24426
DecayingTunaLips,2850925,108,0.72,0.5,20193,14464,127476
CruelShredder,337919,53,0.61,1.5,3504,2107,15827
PvpUprise.,1561793,448,2.36,5.1,8751,19589,62031
ehcruz Ψ,888244,153,1.04,2.2,7084,7208,36582
Hootyhoo,855385,162,1.7,2.7,5919,9765,35555
Punisher-ك,971544,102,0.96,1,10067,9534,39228
NEW vinny,1128381,384,2.01,3.9,9927,19195,47114
PumpMeHarderPapi,2411764,1659,5.31,20.3,8179,34602,75041
iTøxiic ツ,1287167,193,0.98,1.8,10501,10080,55560
VIPEX avok ӝ,2153978,132,0.83,0.5,26642,22007,88657
DreamSketch,2447216,642,2.48,5.5,11618,27255,86387
zxcv -iwnl- 圖例等級,1881349,132,1.13,1,12623,14131,86349
NorCal Kаi,66734,53,3.16,7.9,668,1946,2121
Persicutor,1210753,514,2.03,6.7,7658,14535,45057
NoobBryant,468950,65,0.9,2.1,3168,2798,20728
Twitch Khemzah,345137,39,2,1.5,2670,5270,12335
AquaFizz,1508510,309,2.03,3.2,9667,18980,66446
BrotherDarkne55,218991,149,1.94,3.5,4303,8078,8595
Kun0HD,757636,70,0.81,1.4,4838,3860,35286
Tokyo Blade,1557685,261,1.02,2.5,10559,10534,66000
RageFaija,632231,57,0.62,0.9,6359,3910,29013
Twitch_안느,758574,197,1.7,3.7,5254,8622,28711
M1chael07,408411,61,0.84,1.7,3620,2980,17857
Smoke 200ₚᵢₙG,96309,23,1.48,1.7,1349,1956,4081
Siуang YT,1968137,973,2.94,7.6,12732,34551,73728
10ironhead00,3188620,321,0.91,2.4,13648,12161,140720
RS OP ytOviPatac,323134,63,1.35,2.6,2387,3128,12515
2jz swapped,2032866,1317,4.89,16.2,8136,33349,61484
shaxxnd .,1446944,545,2.38,4.3,12787,29106,55347
kika チ,1607184,506,2.66,5.4,9330,23444,59461
Twitch xxSHIFTx,82235,27,2.49,6.6,408,947,2752
Marduniano,1340327,153,1.72,1.8,8591,14500,55503
SneakyBets,1772588,402,2.22,4.6,8745,18505,64045
JPipita7 TTV,1394788,387,1.28,5.7,6764,8184,59329
1er World Cup,749409,1172,4.2,16.5,7097,24892,23792
ClearlyOutPlayed,296721,15,0.87,0.5,2908,2503,12418
Techtie,128921,46,1.51,6,765,1086,5110
Blessed Takaツ,1008476,558,3.17,12.9,4339,11981,34254
TTV DarkSider85,1046468,108,1.29,1.2,8792,11187,44189
WERRRA03,1042842,129,0.9,2.3,5611,4947,46853
ItsSimplyDanny,444273,189,2.68,7.7,2463,6097,16017
ARK MustafaAbi88,2019137,369,1.02,3.2,11590,11431,84895
FzDDDDDDDDD ツ,811545,307,2.34,7.6,4048,8741,28952
Gamma Ψ,673590,77,0.91,2.5,3053,2717,29113
Boneman 74,2180743,186,0.77,2,9185,6942,95137
L E Ó N.,2219568,276,1.41,1.8,15634,21655,85846
pufinzム,582849,311,4,12,2581,9077,20806
New Killing,1380393,77,1.18,0.7,11817,13879,56801
Crysonek,350927,65,1.4,2.7,2392,3248,14444
behrooz4248,1682562,230,1.13,3.3,7069,7733,69889
Platine 永,1392548,151,1.1,2.4,6411,6899,61078
pari93,174115,27,1.25,2.2,1242,1523,6980
CheQeMatt-CsK,1731070,257,1.25,2.3,11375,13870,71663
herK0kales,1533591,164,1.34,1.3,12686,16721,59160
LNDONY,2134902,631,1.9,4.5,13962,25354,86958
M10 Pepper,942366,859,4.39,19.2,4481,15886,36415
DAVIDLAG-ECUADOR,1088385,258,1.52,2.7,9645,14305,39928
Eton1127 YT,2137532,194,1.2,1.3,15347,18143,93604
Father Brooks,153639,90,1.85,5.7,1587,2768,6303
Sрicy,2215357,1847,4.23,9.2,20001,76734,79948
Jonny_Quinn,1588753,655,2.48,6.6,9924,23002,56272
rhihno,1548577,529,2.72,7,7588,19189,58600
BaySoldier,1198540,778,3.61,8.6,9081,29955,43983
Ackerman 76,625820,120,1.73,2.6,4605,7754,22498
DubNasty23,3276606,371,1.01,2.5,14699,14449,141851
D0nger.,54535,6,1.41,1.5,397,553,2275
Mampuu,352174,98,1.49,5,1958,2773,14057
J0hny sinss,836643,217,1.83,4.6,4756,8303,32786
аkiooo.,846001,160,1.68,3,5339,8695,36665
NEW KidPlayer,1067470,298,1.65,3.2,9355,14955,39464
ArielMove,2448747,385,1.24,3.8,10032,11957,102912
LumacY,947129,732,2.68,10.3,7109,17102,33799
あの谷次郎,129017,22,1.01,1.9,1149,1139,5260
MΑTTΥP,36503,23,1.87,10.7,214,357,1423
sF Leyenda ツ TV,1187673,420,1.64,6,6944,10673,47498
AgroJ YT,590733,91,1.26,2.1,4249,5258,25431
MsPoison_IvyTTV,1161008,48,1,0.8,6373,6344,49191
Guru Guru Waton,118248,17,1.2,1.8,926,1095,4765
OMC Nuchos,263978,47,0.85,1,4660,3918,10911
glaner jo,185062,11,1.66,0.8,1305,2146,6696
Retruffox,446269,175,2.09,3.8,4604,9273,17013
Buros13,798828,111,1.33,3.1,3630,4676,33332
ᴹʳ.GLΘPEZ ᴳᵒᵈ シ,759118,52,1.07,1.3,4158,4403,33202
SOX_Eastpak,572679,145,1.31,3.8,3795,4775,22655
faria,119764,280,3.05,7,4022,11415,4706
JACK PALANCE,527973,25,0.95,0.4,6009,5664,21152
ZodeXӝ,1123364,357,1.79,3.1,11685,20234,40591
Abduzido 999,1914192,818,3.38,8.3,9842,30534,68441
Iluvhugs,1233516,339,1.52,3.9,8774,12858,51175
ÄĊỆ,1286927,423,1.98,5.6,7532,14079,45381
ApexMinato,797044,234,1.64,3.4,6932,10953,32360
xDerfelCadarn,3436439,263,0.9,1.2,22717,20182,162232
CookiePeanuts20,5439,1,0.51,1,100,50,246
Stanley._,1879415,174,1.42,1,17293,24389,77335
Ethereum 10k,745541,44,0.86,0.9,4970,4225,32976
twitch_evermix19,809390,76,0.71,1.5,5129,3611,37925
Lowborn007,1255584,74,0.87,0.9,7796,6703,55134
Bi TAX YT,247561,54,1.03,1.6,3315,3367,10678
breakdownlow,1009945,84,1.16,0.8,9991,11481,40860
TTV Unlucky man,909175,150,2.2,3.2,4670,9929,34806
VARCH4R,217690,63,2.33,6.2,1014,2213,7664
GkingTV,150243,11,1.43,1.3,855,1206,6348
ilMos7ro,559682,278,1.74,4.7,5903,9794,22282
Кrush,2086464,293,1.56,1.2,25090,38780,75252
xJeFiiN,689254,517,2.96,15.8,3274,8159,24483
baby estefi,623677,111,1.33,2.7,4094,5286,24769
Cz - xSn0Wツ,234436,40,1.33,2.2,1847,2401,9845
Rub e pera,1311632,150,1.06,1.7,8698,9034,57141
twitch_Janivi,1074440,142,1.09,1.8,7704,8236,47095
عبسي1998,697123,82,0.98,1.3,6540,6310,28372
KING-HYPER.,192961,60,1.09,3.5,1705,1788,7749
PuzzleMagnet,53345,2,0.47,0.5,438,204,2730
A6usM,942187,210,1.59,3.4,6121,9376,40731
SRD_iRehzZツ,336464,81,1.62,2.9,2786,4380,13312
qкeu,450358,102,1.61,4.2,2445,3781,18791
Juicycrits,1098398,989,4.25,17.3,5719,20126,34966
headz0tHD,2459658,344,1.51,2.1,16354,24247,110181
pr1nznook,369165,99,2.23,4.3,2314,4933,13866
sиow OhSiNena.,797678,256,1.48,7,3681,5060,35573
MASSV3,3396390,255,0.9,1.1,24149,21403,149224
Micro Temper,67378,29,0.78,3.9,739,556,2869
TTV-Mark_Jess,743118,121,1.28,3.8,3214,3949,31580
DasLooney,18566,0,0.26,0,258,66,908
NIGHT X ZERO,611792,94,1.06,1.4,6542,6823,23359
tizycribs,1529655,322,2.01,4,8113,15698,67815
Zіd FEHU,1779654,585,2.87,4.5,13101,35897,65500
RAGNA-AU,1791983,1240,6.72,25.7,4822,24088,50476
SHS Strix 75,1664630,247,2.06,2.3,10753,21608,62379
DZeSports Karim,1116919,408,2.89,5.4,7597,20800,40036
HS oTACHE,196122,46,1.37,2.3,1997,2671,7955
Twitch GoatyyF1,1948731,647,2.43,6.9,9368,21217,79046
trips ackerman.,902339,119,1.69,2.1,5765,9534,37404
Mypkun,32562,2,0.34,0.1,1551,523,1991
IamDrunk.,886987,197,1.39,3.4,5857,7854,33878
Sologamer,1629996,1507,4.47,14,10788,41527,50694
JhnSmallBerries,2531534,973,0.9,10.7,9087,7329,112814
MIB MiSTiCzinhoღ,1292889,448,2.19,4.9,9160,19054,50878
Yamasaki_,931663,366,1.48,7.8,4693,6401,38163
ParniValjak77977,2352645,280,1.11,2.4,11558,12493,102990
Elrawdy,939713,76,1.75,1.1,6942,11989,34291
нadley вc,530752,166,2.12,9.6,1722,3299,20320
ƬᵉᵉƊᵃⁿᴳ,626570,115,1.59,3.9,2914,4462,26346
FAMEaKi TTV,274064,116,1.8,2.9,3996,6987,11018
ttv mario600gsrツ,445332,131,1.02,2.8,4746,4689,18360
ЯモDモΨモSBLモSSモD,680041,91,0.83,1.4,6714,5476,31489
ᵀʷᶦᵗᶜʰDannyTrips,137202,13,0.98,1,1368,1332,6178
IG Kamalo,734463,376,2.54,7.2,5227,12312,26048
шноisdeyvid,1865005,112,0.94,0.8,14309,13346,84181
Rage907,143727,24,1.26,2.3,1030,1271,6316
UEC_GameMaster15,173255,35,0.91,1.3,2701,2418,6910
Raikku.,1828923,936,1.84,8.3,11295,19033,74591
NeFs Stodul,909765,196,2.37,2.7,7197,16600,33370
Ꙅnakebali,1387350,375,1.66,4.1,9130,14513,56422
J Infected HFWD,733033,57,1.07,1.1,5279,5568,30797
tbz92,366075,109,1.83,9.3,1169,1944,14712
SOUL KING Ϟ,418139,80,1.36,2.6,3024,3991,17043
1Royal Ridge TTV,134642,20,0.63,2.5,789,488,6109
AL Rabbit神,135089,19,0.96,2,954,898,6554
staralliance74,1272293,46,0.7,0.4,10291,7210,56284
Riddle Maufin 7,1114573,777,5.6,14.5,5369,25731,38604
fiftytwo66,2973183,234,0.86,1.2,20062,17055,126960
MariStiko TTV,630939,63,1.25,1.8,3598,4410,26578
Méalune,286285,54,0.79,2.4,2263,1741,12650
Stufdyamomma,772123,283,2.2,6.5,4359,8956,27424
zeemace,1124144,366,1.45,5.9,6233,8501,45636
Montiso,934132,156,1.44,3.1,5063,7072,43052
Code SAFE,97508,54,1.76,5.4,1008,1681,3643
jеtеr,2462194,174,0.8,0.9,18600,14745,117284
PsychTazeTV,2355664,180,1.43,1.1,16199,22986,96843
Tabbassat,866415,175,1.41,3.4,5199,7105,33463
Twitch HeyimPal,151429,18,0.96,1.1,1591,1511,7027
code tvRoshi,704433,47,1.17,1.2,3788,4384,31656
NTNS NIKOLAS,103662,4,0.74,0.4,1078,795,4386
FatalBroccoli,1144426,185,0.81,4,4671,3612,54624
TikTok Boombi4es,2033835,305,2.24,2.3,13359,29285,74161
lućano 87,958078,711,3.18,11.4,6224,17519,36010
Old Man Haze,635393,218,1.95,4.3,5110,9533,22491
ur mad 11,704748,201,2.13,4.6,4392,8947,23007
55easy,1515651,133,0.84,1.5,9095,7497,68593
GL bykn,1925584,1171,4.49,15,7799,29730,72637
FreshD. on YT,520685,73,1.4,1.5,4741,6546,21902
TTV EVO LilRed,304925,13,0.62,0.3,4107,2555,13330
Epsilon_Radamas,416238,84,1.6,3.5,2403,3705,15974
WЁS,838548,148,1.54,3.4,4413,6553,35080
モイスティマーマン,587830,122,1.3,3.3,3730,4681,24446
TTV FallxV2,1100256,1085,3.99,12.4,8718,30434,41963
Aspö-DIGGA,1029101,241,1.88,2.9,8370,15313,37933
rikardopl,461730,137,2.08,4.3,3172,6303,16438
ΨּدڶــۃڦــﮪــﯣۃΨ,1081937,219,1.38,3.4,6348,8485,41871
AngelBvibin.,1365632,75,1.29,0.6,11625,14897,53443
Yaggїシ,900791,79,1.04,1.2,6579,6769,42108
Lyóko,271090,46,0.9,1.6,2878,2555,11521
lady_cookie_mor,58119,8,0.61,2.5,319,189,2736
Snykrr7,963449,63,0.77,0.8,7610,5834,44696
FB Lorindos,1423821,254,1.59,4.1,6261,9541,56165
DoryanLepro,309618,44,1.23,2.5,1729,2077,13136
xingxiddenxngel,653972,103,1.5,2.9,3565,5194,25718
IMMORTALOFDEATH,59205,6,1.04,1.6,378,388,2541
ZP_Cris 144Hz,1297140,582,1.91,6.7,8684,15457,48323
Ac てぃあのすけ 鮭,1018028,238,2.01,3.8,6320,12219,41108
YT_BadKarmaGR.,1763118,1350,3.32,10.8,12487,37015,61141
Chlander.,354552,30,1.04,1,2943,3020,14429
Colonel_Calico,268133,36,0.84,1.5,2349,1945,12496
ONYX AZZE-,1063292,508,3.8,9.5,5365,18449,38990
00LaPlume,54095,5,0.63,0.7,722,455,2279
aDamn_mf,884287,188,1.77,3.6,5180,8825,33682
Castaway Ball,297018,202,2.8,14.6,1386,3316,10354
MFZIG,662389,108,2.26,2.6,4192,9245,27397
Ergyt,2047850,1477,2.88,12.1,12241,30975,86299
Procoro,53793,80,1.97,4.9,1619,3034,1998
HolyMoses75,3076621,138,1.19,0.7,19162,22671,124770
MrMasterWong.ttv,604420,67,1.39,1.4,4628,6337,23099
BLEIKRAY,88129,11,0.94,0.6,1936,1801,3669
DJOKATRON 1g,1236016,385,2.22,4.5,8623,18307,55264
